2139	9130	0.4
5015	4791	0.45
3059	2776	0.49
4077	8194	0.49
6536	4351	0.6
4476	6719	0.75
2184	8908	0.82
1556	811	0.82
2868	896	0.82
7201	6048	0.96
2063	4275	1.0
6942	9182	1.0
6942	9182	1.0
5523	5125	1.01
6206	10328	1.05
6908	4708	1.1
5765	7981	1.11
5480	4833	1.24
646	896	1.24
1498	330	1.26
1372	330	1.26
5422	3099	1.27
6217	9743	1.28
8076	65	1.3
4105	5550	1.3
4411	6632	1.3
3710	8002	1.31
2813	6923	1.35
2166	4122	1.35
4609	1697	1.36
5812	6213	1.4
8686	896	1.4
8686	6632	1.4
6934	7680	1.4
2563	10321	1.4
2587	8047	1.4
8441	1470	1.43
7864	1150	1.44
7581	5297	1.44
7581	6946	1.49
3132	5861	1.49
1004	1906	1.52
1711	8919	1.52
6830	4304	1.54
4016	1155	1.55
8235	1732	1.57
1370	5280	1.57
1711	7389	1.58
6942	305	1.59
3059	2868	1.6
5478	896	1.6
1303	92	1.62
1271	9680	1.64
4349	1470	1.64
780	8528	1.66
3184	7109	1.66
6930	10342	1.68
2627	464	1.68
266	9732	1.7
7580	7089	1.7
7803	4431	1.7
6691	7083	1.7
6546	2800	1.71
1771	1053	1.72
7118	8125	1.72
4530	7273	1.72
8000	6248	1.72
1311	1756	1.74
2627	10112	1.74
8180	6851	1.77
8488	610	1.78
6114	9182	1.79
7061	1396	1.8
7581	9260	1.8
7942	8715	1.82
7299	965	1.82
4678	4304	1.82
4896	3144	1.82
5672	5561	1.82
2379	5711	1.82
3184	7821	1.84
6125	6189	1.85
2526	3190	1.85
7581	7105	1.88
8068	525	1.88
7330	653	1.89
817	7622	1.9
8121	2721	1.9
822	6572	1.91
6125	3928	1.92
3124	6225	1.92
3132	1680	1.92
2531	7814	1.94
8121	6289	1.95
7581	9142	1.96
1667	8138	1.96
5326	7475	1.98
4524	3142	1.99
7581	1407	2.0
4013	5517	2.0
1346	965	2.0
2563	9992	2.0
4026	5280	2.0
3231	5645	2.0
2488	5498	2.0
2728	5635	2.0
3128	2888	2.0
7733	10106	2.03
569	2835	2.04
5606	2324	2.05
8087	4183	2.05
6628	10012	2.05
822	8908	2.06
3184	740	2.06
4667	3383	2.06
3244	8298	2.07
7581	5789	2.08
6702	5237	2.1
7415	1470	2.1
812	7198	2.1
7300	4523	2.11
7736	9517	2.12
474	1446	2.13
8014	9139	2.15
7581	2325	2.15
5917	2994	2.15
8068	6666	2.16
4016	1155	2.19
3534	6929	2.19
2847	1701	2.2
1876	811	2.2
8553	3336	2.2
1514	10019	2.22
2985	1422	2.22
3184	2876	2.24
8068	1401	2.24
8339	9706	2.24
7786	2993	2.25
249	1775	2.26
7800	10122	2.27
4438	4603	2.27
1951	4684	2.28
5240	3656	2.28
8068	7786	2.29
7332	211	2.29
2440	759	2.3
4013	609	2.3
1595	8155	2.3
1595	4783	2.3
